status;history;amount;savings;employed;rate;personal;residence;property;age;housing;credits;job;persons;telephone;foreign;credit
1;4;1049;1;2;4;2;4;2;21;1;1;3;0;0;0;1
1;4;2799;1;3;2;3;2;1;36;1;2;3;1;0;0;1
2;2;841;2;4;2;2;4;1;23;1;1;2;0;0;0;1
1;4;2122;1;3;3;3;2;1;39;1;2;2;1;0;1;1
1;4;2171;1;3;4;3;4;2;38;2;2;2;0;0;1;1
1;4;2241;1;2;1;3;3;1;48;1;2;2;1;0;1;1
1;4;3398;1;4;1;3;4;1;39;2;2;2;0;0;1;1
1;4;1361;1;2;2;3;4;1;40;2;1;2;1;0;1;1
4;4;1098;1;1;4;2;4;3;65;2;2;1;0;0;0;1
2;2;3758;3;1;1;2;4;4;23;1;1;1;0;0;0;1
1;4;3905;1;3;2;3;2;1;36;1;2;3;1;0;0;1
1;4;6187;2;4;1;4;4;3;24;1;2;3;0;0;0;1
1;4;1957;1;4;1;2;4;3;31;2;1;3;0;0;0;1
2;3;7582;2;1;2;3;4;4;31;2;1;4;0;1;0;1
1;2;1936;5;4;2;4;4;3;23;1;2;2;0;0;0;1
1;2;2647;3;3;2;3;3;1;44;1;1;3;1;0;0;1
1;4;3939;1;3;1;3;2;1;40;2;2;2;1;0;0;1
2;2;3213;3;2;1;4;3;1;25;1;1;3;0;0;0;1
2;4;2337;1;5;4;3;4;1;36;2;1;3;0;0;0;1
4;4;7228;1;3;1;3;4;2;39;2;2;2;0;0;0;1
1;4;3676;1;3;1;3;3;1;37;1;3;3;1;0;0;1
2;4;3124;1;2;1;3;3;1;49;2;2;2;1;0;0;1
2;2;2384;1;2;4;3;1;4;33;1;1;2;0;0;0;0
2;4;1424;1;4;4;3;3;2;26;2;1;3;0;0;0;1
1;4;4716;5;2;1;3;3;1;44;2;2;2;1;0;0;1
2;3;4771;1;4;2;3;4;2;51;2;1;3;0;0;0;1
1;2;652;1;5;4;2;4;2;24;1;1;3;0;0;0;1
2;4;1154;1;5;2;3;4;1;37;2;3;2;0;0;0;1
4;2;3556;5;3;3;3;2;4;29;2;1;3;0;0;0;1
3;4;4796;1;5;4;3;4;4;56;3;1;3;0;0;0;1
3;4;3017;1;5;4;3;4;2;47;2;1;3;0;0;0;1
4;4;3535;1;4;4;3;4;3;37;2;2;3;0;1;0;1
4;4;6614;1;5;4;3;4;3;34;2;2;4;0;1;0;1
4;2;1376;3;4;4;2;1;3;28;2;1;3;0;0;0;1
1;2;1721;1;2;2;3;3;1;36;2;1;3;0;0;0;1
1;4;860;1;5;1;2;4;4;39;2;2;3;0;1;0;1
4;4;1495;1;5;4;3;1;1;38;2;2;2;1;0;0;1
4;4;1934;1;5;2;3;2;4;26;2;2;3;0;0;0;1
4;2;3378;5;3;2;3;1;2;31;2;1;3;0;1;0;1
4;4;3868;1;5;4;2;2;3;41;1;2;4;0;1;0;1
4;4;996;5;4;4;2;4;1;23;2;2;3;0;0;0;1
1;2;1755;1;5;4;2;4;1;58;2;1;2;0;1;0;1
4;4;1028;1;3;4;2;3;1;36;2;2;3;0;0;0;1
2;4;2825;5;4;4;3;3;4;34;2;2;3;1;1;0;1
2;2;1239;5;3;4;3;4;4;61;3;1;3;0;0;0;1
1;2;1216;1;2;4;2;3;3;23;1;1;3;0;1;0;0
4;2;1258;1;4;4;3;1;1;25;2;1;3;0;1;0;1
4;4;1864;2;3;4;2;2;1;30;2;2;3;0;0;0;0
4;2;1474;2;2;4;4;3;1;33;2;1;3;0;1;0;1
1;4;1382;2;4;4;3;1;1;26;2;2;3;0;1;0;1
4;2;640;1;3;4;1;2;1;49;2;1;2;0;0;0;1
3;2;3919;1;3;2;3;2;1;23;2;1;3;0;1;0;1
4;4;1224;1;3;3;3;1;1;30;2;2;3;0;0;0;1
4;4;2331;5;5;1;3;4;1;49;2;1;3;0;1;0;1
4;2;6313;5;5;3;3;4;3;41;2;1;4;1;1;0;1
1;4;385;1;4;4;2;3;1;58;2;4;2;0;1;0;1
4;4;1655;1;5;2;3;4;1;63;2;2;2;0;1;0;1
1;2;1053;1;2;4;4;2;1;27;2;1;3;0;0;1;1
4;2;3160;5;5;4;3;3;2;41;2;1;3;0;1;0;1
4;2;3079;5;3;4;3;4;1;36;2;1;3;0;0;0;1
4;4;1163;3;3;4;3;4;1;44;2;1;3;0;1;0;1
4;2;2679;1;2;4;2;1;4;29;2;1;4;0;1;0;1
4;4;3578;5;5;4;3;1;1;47;2;1;3;0;1;0;1
4;3;10875;1;5;2;3;2;3;45;2;2;3;1;1;0;1
1;3;1344;1;3;4;3;2;1;43;2;2;2;1;0;0;1
4;4;1237;2;3;1;2;1;2;27;2;2;3;0;0;0;1
4;2;3077;1;3;2;3;4;3;52;2;1;3;0;1;0;1
4;2;2284;1;4;4;3;2;3;28;2;1;3;0;1;0;1
2;2;1567;1;3;1;2;1;3;22;2;1;3;0;1;0;1
4;3;2032;1;5;4;3;4;4;60;3;2;3;0;1;0;1
2;4;2745;4;4;3;3;2;3;32;2;2;3;0;1;0;1
4;2;1867;5;5;4;3;4;3;58;2;1;3;0;1;0;1
4;2;2299;3;5;4;3;4;3;39;2;1;3;0;0;0;1
